"row","filename","title","author","year","page_number","image_url","license"
"60","060_bsb11034282_11_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1854","Deutscher Zollverein","1854","11 (0011)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034282_00011/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"61","061_bsb10290810_162_conf_1.00.png","History of the rise and progress of the iron trade of the United States from 1621 to 1857 : With numerous statistical tables, relating to the manufacture, importation, exportation, and prices of iron for more than a century","French, B. F.","1858","140 (0162)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10290810_00162/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"62","062_bsb11507342_30_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1890, 1. Jan. - 30. Nov.",,"1890","28 (0030)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507342_00030/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"63","063_bsb11314048_289_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 25. 1875",,"1875","275 (0289)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11314048_00289/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"64","064_bsb11576852_129_conf_1.00.png","Archiv für soziale Gesetzgebung und Statistik : Zeitschr. zur Erforschung d. gesellschaftl. Zustände aller Länder / 6. 1893",,"1893","113 (0129)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11576852_00129/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"65","065_bsb10388353_95_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 4. 1865",,"1865","(0095)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10388353_00095/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"66","066_bsb11034185_88_conf_1.00.png","Statistischer Jahres-Bericht der Central-Commission für die Rhein-Schiffahrt / 1871 (1872)","Zentralkommission für die Rheinschifffahrt","1872","80 (0088)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034185_00088/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"67","067_bsb11034282_12_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1854","Deutscher Zollverein","1854","12 (0012)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034282_00012/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"68","068_bsb11034276_36_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1848","Deutscher Zollverein","1848","38 (0036)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034276_00036/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"69","069_bsb11328180_124_conf_1.00.png","Nachrichten über Industrie, Handel und Verkehr aus dem Statistischen Departement im K.K. Handelsministerium / 8. 1875 (1876), H. 3","Österreich, Handelsministerium","1876","108 (0124)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11328180_00124/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
